SALES_YEAR,COUNTRY_OR_TERRITORY,TIRE_SIZE,RIM_SIZE,TOTAL_INDUSTRY_SALES,SOM_OF_SIZES,GOODYEAR_SALES,OTHERS_SALES,SOM_OF_BRAND,BRAND_NAME,DESIGN_NAME,BRAND_TYPE,GOODYEAR_BRAND_SALES,GOODYEAR_PATTERN_SALES,GOODYEAR_PATTERN_RANK_BY_SIZE_BRAND,COMPETITOR_BRAND,COMPETITOR_BRAND_SALES,COMPETITOR_SOM,COMPETITOR_PATTERN,COMPETITOR_PATTERN_SALES,COMPETITOR_PATTERN_RANK_BY_SIZE_BRAND,TOP_5_FITMENTS
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Viking,82.5182,6.083368706e-05,TERATECH HT,35.7174,2,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Joyroad,106.3809,7.842563677e-05,GRAND TOURER H/T,71.8226,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Joyroad,106.3809,7.842563677e-05,WINTER RX826,34.5583,2,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Saferich,110.8976,8.175541753e-05,FRC866,110.8976,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Warrior,125.5659,9.256911404e-05,SR1 HP,125.5659,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Farroad,127.3457,9.388120999e-05,FRD866,127.3457,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Roadboss,127.5798,9.405379212e-05,CELERITAS N906,127.5798,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Anttna,129.7056,9.56209646e-05,GREEFFECT G50,129.7056,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Jassitow,153.4387,0.0001131173712,BRAVES SPORT AU518,153.4387,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Anchee,153.4571,0.000113130936,AC 828,153.4571,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
